make,fuel-type,body-style,curb-weight,num-of-cylinders,engine-size,horsepower,city-mpg,highway-mpg,price
peugot,diesel,wagon,3485,four,152,95.0,25,25,17075.0
peugot,gas,sedan,3075,four,120,97.0,19,24,16630.0
peugot,diesel,sedan,3252,four,152,95.0,28,33,17950.0
peugot,gas,sedan,3130,four,134,142.0,18,24,18150.0
plymouth,gas,hatchback,1918,four,90,68.0,37,41,5572.0
plymouth,gas,hatchback,2128,four,98,102.0,24,30,7957.0
plymouth,gas,hatchback,1967,four,90,68.0,31,38,6229.0
plymouth,gas,sedan,1989,four,90,68.0,31,38,6692.0
plymouth,gas,sedan,2191,four,98,68.0,31,38,7609.0
plymouth,gas,wagon,2535,four,122,88.0,24,30,8921.0
plymouth,gas,hatchback,2818,four,156,145.0,19,24,12764.0
porsche,gas,hatchback,2778,four,151,143.0,19,27,22018.0
porsche,gas,hardtop,2756,six,194,207.0,17,25,32528.0
porsche,gas,hardtop,2756,six,194,207.0,17,25,34028.0
porsche,gas,convertible,2800,six,194,207.0,17,25,37028.0
saab,gas,hatchback,2658,four,121,110.0,21,28,11850.0
saab,gas,sedan,2695,four,121,110.0,21,28,12170.0
saab,gas,hatchback,2707,four,121,110.0,21,28,15040.0
saab,gas,sedan,2758,four,121,110.0,21,28,15510.0
saab,gas,hatchback,2808,four,121,160.0,19,26,18150.0
saab,gas,sedan,2847,four,121,160.0,19,26,18620.0
subaru,gas,hatchback,2050,four,97,69.0,31,36,5118.0
subaru,gas,hatchback,2120,four,108,73.0,26,31,7053.0
subaru,gas,hatchback,2240,four,108,73.0,26,31,7603.0
subaru,gas,sedan,2145,four,108,82.0,32,37,7126.0
subaru,gas,sedan,2190,four,108,82.0,28,33,7775.0
subaru,gas,sedan,2340,four,108,94.0,26,32,9960.0
subaru,gas,sedan,2385,four,108,82.0,24,25,9233.0
subaru,gas,sedan,2510,four,108,111.0,24,29,11259.0
subaru,gas,wagon,2290,four,108,82.0,28,32,7463.0
subaru,gas,wagon,2455,four,108,94.0,25,31,10198.0
subaru,gas,wagon,2420,four,108,82.0,23,29,8013.0
subaru,gas,wagon,2650,four,108,111.0,23,23,11694.0
toyota,gas,hatchback,1985,four,92,62.0,35,39,5348.0
toyota,gas,hatchback,2040,four,92,62.0,31,38,6338.0
toyota,gas,hatchback,2015,four,92,62.0,31,38,6488.0
toyota,gas,wagon,2280,four,92,62.0,31,37,6918.0
toyota,gas,wagon,2290,four,92,62.0,27,32,7898.0
toyota,gas,wagon,3110,four,92,62.0,27,32,8778.0
toyota,gas,sedan,2081,four,98,70.0,30,37,6938.0
toyota,gas,hatchback,2109,four,98,70.0,30,37,7198.0
toyota,diesel,sedan,2275,four,110,56.0,34,36,7898.0
toyota,diesel,hatchback,2275,four,110,56.0,38,47,7788.0
toyota,gas,sedan,2094,four,98,70.0,38,47,7738.0
toyota,gas,hatchback,2122,four,98,70.0,28,34,8358.0
toyota,gas,sedan,2140,four,98,70.0,28,34,9258.0
toyota,gas,sedan,2169,four,98,70.0,29,34,8058.0
toyota,gas,hatchback,2204,four,98,70.0,29,34,8238.0
toyota,gas,sedan,2265,four,98,112.0,26,29,9298.0
toyota,gas,hatchback,2300,four,98,112.0,26,29,9538.0
toyota,gas,hardtop,2540,four,146,116.0,24,30,8449.0
toyota,gas,hardtop,2536,four,146,116.0,24,30,9639.0
toyota,gas,hatchback,2551,four,146,116.0,24,30,9989.0
toyota,gas,hardtop,2679,four,146,116.0,24,30,11199.0
toyota,gas,hatchback,2714,four,146,116.0,24,30,11549.0
toyota,gas,convertible,2975,four,146,116.0,24,30,17669.0
toyota,gas,sedan,2326,four,122,92.0,29,34,8948.0
toyota,diesel,sedan,2480,four,110,73.0,30,33,10698.0
toyota,gas,hatchback,2414,four,122,92.0,27,32,9988.0
toyota,gas,sedan,2414,four,122,92.0,27,32,10898.0
toyota,gas,hatchback,2458,four,122,92.0,27,32,11248.0
toyota,gas,hatchback,2976,six,171,161.0,20,24,16558.0
toyota,gas,hatchback,3016,six,171,161.0,19,24,15998.0
toyota,gas,sedan,3131,six,171,156.0,20,24,15690.0
toyota,gas,wagon,3151,six,161,156.0,19,24,15750.0
volkswagen,diesel,sedan,2261,four,97,52.0,37,46,7775.0
volkswagen,gas,sedan,2209,four,109,85.0,27,34,7975.0
volkswagen,diesel,sedan,2264,four,97,52.0,37,46,7995.0
volkswagen,gas,sedan,2212,four,109,85.0,27,34,8195.0
volkswagen,gas,sedan,2275,four,109,85.0,27,34,8495.0
volkswagen,diesel,sedan,2319,four,97,68.0,37,42,9495.0
volkswagen,gas,sedan,2300,four,109,100.0,26,32,9995.0
volkswagen,gas,convertible,2254,four,109,90.0,24,29,11595.0
volkswagen,gas,hatchback,2221,four,109,90.0,24,29,9980.0
volkswagen,gas,sedan,2661,five,136,110.0,19,24,13295.0
volkswagen,diesel,sedan,2579,four,97,68.0,33,38,13845.0
volkswagen,gas,wagon,2563,four,109,88.0,25,31,12290.0
volvo,gas,sedan,2912,four,141,114.0,23,28,12940.0
volvo,gas,wagon,3034,four,141,114.0,23,28,13415.0
volvo,gas,sedan,2935,four,141,114.0,24,28,15985.0
volvo,gas,wagon,3042,four,141,114.0,24,28,16515.0
volvo,gas,sedan,3045,four,130,162.0,17,22,18420.0
volvo,gas,wagon,3157,four,130,162.0,17,22,18950.0
volvo,gas,sedan,2952,four,141,114.0,23,28,16845.0
volvo,gas,sedan,3049,four,141,160.0,19,25,19045.0
volvo,gas,sedan,3012,six,173,134.0,18,23,21485.0
volvo,diesel,sedan,3217,six,145,106.0,26,27,22470.0
volvo,gas,sedan,3062,four,141,114.0,19,25,22625.0
